"hockey => ( ! )
marathon => [ * ]
football => ( * )
baseball => ( * )
tag => [ * ]
soccer => ( * )
basketball => ( ! )
skiing => [ * ]
golf => [ * ]
chess => "
"pyramid => * * *
sphere => ! ! !
square => * *
triangle => * *
cone => ! ! !
cube => * * *
pentagon => * *
circle => "
"father => ! !
mother => * *
grandfather => !
brother => ! ! !
grandmother => *
sister => "
"ear => [ ! ]
headphones => ( ! )
camera => [ * ]
radio => ( ! )
eye => [ * ]
speaker => ( ! )
microphone => [ ! ]
screen => "
